No,Tình,Tên cụm,Loại cụm,Mô tả,Một số điểm trong cụm,Tiếp giáp
20,Thành phố Hồ Chí Minh,Dầu Tiếng,Cụm nhỏ,"Du lịch sinh thái hồ thủy lợi rộng lớn, cắm trại dã ngoại và ngoạn cảnh quần thể núi đá tâm linh.","Hồ Dầu Tiếng (khu vực Bình Dương)

Quần thể danh thắng Núi Cậu

Chùa Thái Sơn (Núi Cậu)

Suối Trúc

Bán đảo Tha La

Nông trường cao su Dầu Tiếng","Tiếp giáp:

Cụm Thủ Dầu Một

Cụm Củ Chi"
21,Thành phố Hồ Chí Minh,Vũng Tàu,Cụm lớn,"Nghỉ dưỡng biển đô thị, khám phá ngọn hải đăng cổ, di sản kiến trúc bờ biển và ẩm thực hải sản.","Bãi Sau (Bãi Thùy Vân)

Bãi Trước

Bãi Dâu

Bãi Dứa

Tượng Chúa Kitô Vua (Núi Nhỏ)

Mũi Nghinh Phong

Ngọn hải đăng Vũng Tàu

Di tích Bạch Dinh

Khu du lịch Hồ Mây (Núi Lớn)

Thích Ca Phật Đài

Niết Bàn Tịnh Xá

Đảo Hòn Bà

Linh Sơn Cổ Tự

Bến thuyền Marina Vũng Tàu","Tiếp giáp:

Cụm Long Hải

Cụm Bà Rịa

Cụm Cần Giờ (đường thủy)

Cụm TP. Hồ Chí Minh (đường thủy)"
22,Thành phố Hồ Chí Minh,Long Hải,Cụm nhỏ,"Du lịch nghỉ dưỡng biển kết hợp hành hương di tích tâm linh, trekking núi lịch sử và trải nghiệm làng chài.","Bãi biển Long Hải

Dinh Cô

Mộ Cô

Căn cứ lịch sử Núi Minh Đạm

Bãi biển Phước Hải

Đèo Nước Ngọt

Thiền viện Trúc Lâm Chân Nguyên (Chùa Khỉ)

Làng chài Phước Hải

Chùa Hòn Một","Tiếp giáp:

Cụm Vũng Tàu

Cụm Bà Rịa

Cụm Hồ Tràm"
23,Thành phố Hồ Chí Minh,Hồ Tràm,Cụm nhỏ,Nghỉ dưỡng biển sang trọng kết hợp tắm khoáng nóng thiên nhiên và thám hiểm rừng nguyên sinh ven biển.,"Các điểm đến thuộc cụm:

Bãi biển Hồ Tràm

Bãi biển Hồ Cốc

Khu bảo tồn thiên nhiên Bình Châu - Phước Bửu

Suối nước nóng Bình Châu

Cầu ngắm biển Hamptons Pier

Cảng cá Lộc An

Bãi biển Bưng Riềng","Tiếp giáp:

Cụm Long Hải

Cụm Bà Rịa

Cụm La Gi (kết nối với Bình Thuận)"
24,Thành phố Hồ Chí Minh,Bà Rịa,Cụm nhỏ,"Du lịch sinh thái núi, trekking hành hương chùa chiền, di tích lịch sử chiến khu và check-in đồng quê","Các điểm đến thuộc cụm:

Quần thể Núi Dinh (Chùa Phật Quang, Suối Tiên - Suối Đá)

Nhà thờ Song Vĩnh (Phú Mỹ)

Địa đạo Long Phước

Đồng cừu Suối Nghệ

Tượng đài Chiến thắng Bình Giã

Nhà lưu niệm Võ Thị Sáu (Đất Đỏ)

Núi Thị","Tiếp giáp:

Cụm Vũng Tàu

Cụm Long Hải

Cụm Hồ Tràm

Cụm TP. Hồ Chí Minh

Cụm Madagui (kết nối với Lâm Đồng)"
25,Thành phố Hồ Chí Minh,Côn Đảo,Cụm nhỏ,"Hành hương tri ân lịch sử tâm linh, nghỉ dưỡng biển đảo sinh thái và thám hiểm bảo tồn sinh vật biển.","Các điểm đến thuộc cụm:

Hệ thống Nhà tù Côn Đảo (Chuồng Cọp Pháp, Chuồng Cọp Mỹ, Trại Phú Hải)

Nghĩa trang Hàng Dương (Mộ chị Võ Thị Sáu)

Vườn quốc gia Côn Đảo

Hòn Bảy Cạnh

Hòn Tài

Hòn Cau

Bãi Đầm Trầu

Bãi Nhát

Đỉnh Tình Yêu

Chùa Núi Một (Vân Sơn Tự)

Miếu Bà Cố Đồ (An Sơn Miếu)

Mũi Cá Lập","Tiếp giáp:

Kết nối qua đường thủy và hàng không với Cụm Vũng Tàu và Cụm TP. Hồ Chí Minh."
26,Đồng Nai,Biên Hòa,Cụm lớn,"Vui chơi giải trí sinh thái đô thị, du lịch sông nước, công viên nước hiện đại và tham quan di tích lịch sử - tâm linh Nam Bộ","Các điểm đến thuộc cụm:

Khu du lịch Bửu Long

Cù lao Phố (Chùa Ông - Thất Phủ Cổ Miếu)

Văn miếu Trịnh Hoài Đức

Công viên Chuyên đề Sơn Tiên (Vịnh Kỳ Diệu - The Amazing Bay)

Khu du lịch sinh thái Bò Cạp Vàng (Nhơn Trạch)

Khu du lịch Làng Tre Việt

Khu du lịch Thác Giang Điền (Trảng Bom)

Đền thờ Nguyễn Hữu Cảnh

Chùa Quốc En

Khu sinh thái Bến Gỗ

Đền thờ Hùng Vương (Nhơn Trạch)","Tiếp giáp:

Cụm TP. Hồ Chí Minh

Cụm Thủ Dầu Một

Cụm Trị An

Cụm Bà Rịa

Cụm Long Khánh"
27,Đồng Nai,Trị An,Cụm nhỏ,"Cắm trại dã ngoại ven lòng hồ thủy điện, chèo SUP, trekking rừng nguyên sinh Mã Đà và thăm căn cứ chiến khu lịch sử.","Các điểm đến thuộc cụm:

Hồ Trị An

Đảo Ó - Hòn Xấm

Rừng Mã Đà (Khu bảo tồn thiên nhiên văn hóa Đồng Nai)

Di tích Căn cứ Trung ương Cục Miền Nam (Chiến khu Đ)

Nghĩa trang Mã Đà

Thác Trị An

Hồ Sông Mây

Làng Bè Trị An","Tiếp giáp:

Cụm Biên Hòa

Cụm Long Khánh

Cụm Cát Tiên

Cụm Đồng Xoài"
28,Đồng Nai,Long Khánh,Cụm nhỏ,"Du lịch sinh thái miệt vườn trái cây Đông Nam Bộ, thưởng thức nông sản tươi tại vườn và tham quan di tích khảo cổ cổ đại.","Các điểm đến thuộc cụm:

Vườn trái cây Long Khánh (Bình Lộc, Bảo Quang, Cấm Hà)

Di tích Quốc gia Mộ cổ Hàng Gòn

Hồ Cầu Dầu

Chùa Hiển Mật

Công viên An Bình

Cánh đồng lúa Cẩm Mỹ

Hồ Suối Vọng","Tiếp giáp:

Cụm Biên Hòa

Cụm Trị An

Cụm Chứa Chan

Cụm Bà Rịa"
29,Đồng Nai,Chứa Chan,Cụm nhỏ,"Hành hương tâm linh chùa núi, trải nghiệm cáp treo, trekking chinh phục đỉnh núi cao thứ nhì Đông Nam Bộ và ngoạn cảnh hồ tự nhiên.","Các điểm đến thuộc cụm:

Núi Chứa Chan (Núi Gia Ray)

Chùa Bửu Quang (Chùa Gia Ray)

Cáp treo Núi Chứa Chan

Cây da 3 ngọn (Cây da thần)

Hồ Núi Le

Hồ Gia UI

Dãy núi Mây Tào (đoạn Xuân Lộc)","Cụm Long Khánh

Cụm Cát Tiên

Cụm Kê Gà (kết nối với Bình Thuận)

Cụm Hồ Tràm (kết nối với Bà Rịa - Vũng Tàu)"
30,Đồng Nai,Đồng Xoài,Cụm nhỏ,"Du lịch đô thị trung tâm Bình Phước, nghỉ dưỡng sinh thái hồ nước ngầm và tham quan các nông trường cao su ngút ngàn.","Các điểm đến thuộc cụm:

Thành phố Đồng Xoài

Hồ Suối Cam

Tượng đài Chiến thắng Đồng Xoài

Chùa Quang Minh

Khu du lịch sinh thái Mỹ Lệ (Phú Riềng)

Nông trường cao su Chơn Thành - Đồng Phú

Hồ Thuận Hòa

Khu du lịch sinh thái Bù Đốm","Cụm Bà Rá

Cụm Sóc Bom Bo

Cụm Tà Thiết

Cụm Thủ Dầu Một (kết nối với Bình Dương)

Cụm Trị An"
31,Đồng Nai,Bà Rá,Cụm nhỏ,"Chinh phục ngọn núi huyền thoại Bà Rá bằng cáp treo, ngoạn cảnh lòng hồ thủy điện Thác Mơ và chiêm bái các ngôi chùa cổ.","Các điểm đến thuộc cụm:

Núi Bà Rá

Cáp treo Bà Rá

Hồ Thủy điện Thác Mơ & Các đảo lòng hồ

Chùa Đức Bổn Sư (Chùa Tưới)

Chùa Phật Quốc Mẫu (Chùa Bà Rá)

Thiền viện Trúc Lâm Phước Long

Khu du lịch Đảo Yến Sơn Hà

Bốt Đội Cao Phước Long

Thác Mơ Bình Phước","Cụm Đồng Xoài

Cụm Bù Gia Mập

Cụm Sóc Bom Bo

Cụm Cát Tiên

Cụm Gia Nghĩa (kết nối với Đắk Nông)"
32,Đồng Nai,Bù Gia Mập,Cụm nhỏ,"Trekking mạo hiểm xuyên rừng di sản Bù Gia Mập, tắm thác nguyên sinh và khám phá hệ sinh thái biên giới.","Các điểm đến thuộc cụm:

Vườn quốc gia Bù Gia Mập

Thác Đắc Mai

Thác Mai (Bù Gia Mập)

Thác Đắk Po

Giếng Trời Bù Gia Mập

Đồn biên phòng Bù Gia Mập","Cụm Bà Rá

Cụm Sóc Bom Bo

Cụm Gia Nghĩa (kết nối với Đắk Nông)"
33,Đồng Nai,Sóc Bom Bo,Cụm nhỏ,"Trải nghiệm không gian văn hóa giã gạo chày đôi của người S'tiêng, cắm trại trảng cỏ tự nhiên và khám phá quần thể đại thác.","Các điểm đến thuộc cụm:

Khu bảo tồn văn hóa dân tộc S'tiêng Sóc Bom Bo

Trảng cỏ Bù Lạch (Bù Lăng)

Thác Đứng

Thác Voi (Bù Đăng)

Thác Pan Toong

Hồ Cổ Thạch Bù Đăng","Cụm Đồng Xoài

Cụm Bà Rá

Cụm Bù Gia Mập

Cụm Gia Nghĩa (kết nối với Đắk Nông)"
34,Đồng Nai,Tà Thiết,Cụm nhỏ,"Tìm hiểu di tích lịch sử chiến khu cách mạng, du lịch tâm linh đại tượng Phật và giao thương biên giới Cửa khẩu Quốc tế.","Các điểm đến thuộc cụm:

Di tích Căn cứ Bộ Chỉ huy Miền Tà Thiết

Chùa Phật Quốc Ta Kêu (Tượng Phật ngồi lớn nhất)

Cửa khẩu Quốc tế Hoa Lư

Thác Trượt (Hớn Quản)

Rừng cao su Lộc Ninh

Mũi Đất Lộc Ninh

Di tích Lịch sử Nhà giao tế Lộc Ninh

Mộ 3.000 người (Bình Long)","Cụm Đồng Xoài

Cụm Dầu Tiếng (kết nối với Bình Dương)"
35,Đồng Nai,Định Quán,Cụm nhỏ,"Khám phá địa chất núi đá kỳ thú, dã ngoại cắm trại ven sông rừng và tắm suối khoáng thiên nhiên.","Các điểm đến thuộc cụm:

Danh thắng Đá Ba Chồng (Định Quán)

Thác Mai - Bàu Nước Sôi (Định Quán)

Hang Nhà Cổ / Hang Bất Tận (Định Quán)

Công viên Suối Mơ (Tân Phú)

Hồ Đa Tôn (Tân Phú)

Thác 9 Tầng Tân Phú","Cụm Cát Tiên

Cụm Trị An

Cụm Chứa Chan

Cụm Madagui"
36,Tây Ninh,Tây Ninh,Cụm lớn,"Du lịch tâm linh đỉnh núi cao nhất Nam Bộ, tham quan Tòa Thánh kiệt tác kiến trúc và nghỉ dưỡng thung lũng núi đá.","Các điểm đến thuộc cụm:

Quần thể danh thắng Núi Bà Đen (Tượng Phật Bà Tây Bổ Đà Sơn, Chùa Bà, Hệ thống Cáp treo Núi Bà Đen)

Thung lũng Ma Thiên Lãnh

Hồ Núi Đá

Tòa Thánh Tây Ninh

Chợ Long Hoa

Bảo tàng Tây Ninh

Tháp cổ Chóp Mạt

Chùa Hiệp Long

Công viên 30/4 Tây Ninh","Cụm Tân Biên

Cụm Trảng Bàng

Cụm Dầu Tiếng (Bình Dương)

Cụm Củ Chi (TP.HCM)"
37,Tây Ninh,Tân Biên,Cụm nhỏ,"Tìm hiểu di tích lịch sử chiến khu cách mạng đặc biệt, thám hiểm đa dạng sinh học rừng mưa biên giới Lò Go - Xa Mát.","Các điểm đến thuộc cụm:

Vườn quốc gia Lò Go - Xa Mát

Di tích Quốc gia đặc biệt Căn cứ Trung ương Cục Miền Nam

Cửa khẩu Quốc tế Xa Mát

Nghĩa trang Liệt sĩ Quốc gia Đồi 82 Tân Biên

Suối Mơ Tân Biên

Đồn Biên phòng Chàng Riệc",Cụm Tây Ninh
38,Tây Ninh,Trảng Bàng,Cụm nhỏ,"Trải nghiệm di sản văn hóa phi vật thể bánh tráng phơi sương, mua sắm giao thương cửa khẩu và khám phá di tích kiến trúc cổ.","Các điểm đến thuộc cụm:

Làng nghề Bánh tráng phơi sương Trảng Bàng

Cửa khẩu Quốc tế Mộc Bài

Tháp cổ Bình Thạnh (Di tích kiến trúc Văn hóa Óc Eo)

Chùa Phước Lưu (Chùa Bàng Long)

Di tích Địa đạo An Thới

Cung đường sông Vàm Cỏ Đông (đoạn Trảng Bàng - Bến Cầu)","Cụm Tây Ninh

Cụm Củ Chi (TP.HCM)

Cụm Đức Hòa"
39,Tây Ninh,Đức Hòa,Cụm nhỏ,"Vui chơi check-in công viên mô hình kiến trúc thế giới, tham quan làng cổ Nam Bộ và du lịch sinh thái dã ngoại.","Các điểm đến thuộc cụm:

Khu du lịch sinh thái Cát Tường Phú Sinh (Công viên các Kỳ quan Thế giới)

Làng cổ Phước Lộc Thọ

Di tích lịch sử Ngã ba Đức Hòa

Chùa Phật Tích Trúc Lâm Đức Hòa

Khu du lịch sinh thái Bến Củi","Cụm Trảng Bàng

Cụm Củ Chi (TP.HCM)

Cụm Tân An

Cụm TP. Hồ Chí Minh"
40,Tây Ninh,Tân Lập,Cụm nhỏ,"Thám hiểm hệ sinh thái rừng tràm ngập nước Đồng Tháp Mười, chèo xuồng ngắm cánh đồng sen và du lịch trải nghiệm dược liệu.","Các điểm đến thuộc cụm:

Khu du lịch Làng Nổi Tân Lập

Khu du lịch sinh thái Cánh Đồng Bất Tận (Trung tâm Nghiên cứu Bảo tồn và Phát triển Dược liệu Đồng Tháp Mười)

Khu bảo tồn đất ngập nước Láng Sen

Di tích Lịch sử Khu vực Đồn Long Khốt

Chợ nông sản Tân Thạnh","Cụm Tân An

Cụm Đức Hòa

Cụm Tây Ninh"
41,Tây Ninh,Tân An,Cụm nhỏ,"Trải nghiệm siêu tổ hợp giải trí văn hóa, khám phá di tích nhà cổ di sản và du lịch sông nước Vàm Cỏ.","Các điểm đến thuộc cụm:

Khu du lịch Happyland (Bến Lức)

Bảo tàng Long An

Lăng Nguyễn Huỳnh Đức

Di tích lịch sử Nhà cổ Một Trăm Cột (Cần Đước)

Chùa Tôn Thạnh (Cần Giuộc)

Di tích Lịch sử Đồn Rạch Giốc

Cảng Quốc tế Long An

Công viên TP. Tân An & Chợ đêm Tân An

Công viên Văn hóa Mũi Tàu","Cụm Đức Hòa

Cụm Tân Lập

Cụm TP. Hồ Chí Minh"
42,Đồng Tháp,Mỹ Tho,Cụm lớn,"Trải nghiệm du lịch sông nước cù lao, tham quan chùa cổ di sản, di tích lịch sử danh tiếng và ẩm thực đô thị miền Tây.","Các điểm đến thuộc cụm:

Cù lao Thới Sơn (Cù lao Lân)

Chùa Vĩnh Tràng

Trại rắn Đồng Tâm

Di tích Lịch sử Rạch Gầm - Xoài Mút

Nhà thờ Chánh tòa Mỹ Tho

Bảo tàng Tiền Giang

Nhà Bạch Công Tử (Dinh Bạch Công Tử)

Bến tàu du lịch Mỹ Tho & Công viên Lạc Hồng

Chùa Bửu Lâm (Mỹ Tho)

Chợ Mỹ Tho","Cụm Cái Bè

Cụm Gò Công

Cụm Tân An (Long An)"
43,Đồng Tháp,Cái Bè,Cụm nhỏ,"Khám phá di sản làng cổ Nam Bộ, trải nghiệm sông nước cù lao miệt vườn trái cây và chiêm bái thiền viện quy mô.","Các điểm đến thuộc cụm:

Chợ nổi Cái Bè

Làng cổ Đông Hòa Hiệp (Nhà cổ Ba Đức, Nhà cổ Ông Kiệt)

Cù lao Tân Phong

Thiền viện Trúc Lâm Chánh Giác (Tân Phước)

Nhà thờ Cái Bè

Vườn trái cây Cái Bè

Khu du lịch sinh thái Việt Nhật","Cụm Mỹ Tho

Cụm Sa Đéc

Cụm Cao Lãnh

Cụm Tân Lập (Long An)"
44,Đồng Tháp,Gò Công,Cụm nhỏ,"Tham quan di tích lịch sử triều Nguyễn, chiêm ngưỡng kiến trúc nhà cổ di sản và trải nghiệm sinh thái biển bãi bùn.","Các điểm đến thuộc cụm:

Bãi biển Tân Thành

Lăng Hoàng Gia (Nơi thờ dòng họ Phạm Đăng)

Nhà cổ Đốc Phủ Hải

Đền thờ & Lăng mộ Anh hùng dân tộc Trương Định

Cù lao Tân Lợi (Tân Phú Đông)

Bãi biển Đèn Đỏ

Chợ Gò Công","Cụm Mỹ Tho

Cụm Tân An (Long An)

Cụm Cần Giờ (TP.HCM - kết nối đường thủy)"
